Date,Site Name,Degree Day Area,HDD at 10.5°C,HDD at 15.5°C,HDD at 18.5°C,CDD at 10.5°C,CDD at 15.5°C,CDD at 18.5°C
01/01/15,Thames Valley,Thames Valley - Oxford Area,1.1,5.5,8.5,0.6,0.0,0.0
02/01/15,Thames Valley,Thames Valley - Oxford Area,3.4,8.1,11.1,0.3,0.0,0.0
03/01/15,Thames Valley,Thames Valley - Oxford Area,6.4,11.4,14.4,0.0,0.0,0.0
04/01/15,Thames Valley,Thames Valley - Oxford Area,9.3,14.3,17.3,0.0,0.0,0.0
05/01/15,Thames Valley,Thames Valley - Oxford Area,3.6,8.6,11.6,0.0,0.0,0.0
06/01/15,Thames Valley,Thames Valley - Oxford Area,4.2,9.2,12.2,0.0,0.0,0.0
07/01/15,Thames Valley,Thames Valley - Oxford Area,4.4,9.4,12.4,0.0,0.0,0.0
08/01/15,Thames Valley,Thames Valley - Oxford Area,2.2,7.2,10.2,0.1,0.0,0.0
09/01/15,Thames Valley,Thames Valley - Oxford Area,0.4,4.3,7.3,1.1,0.0,0.0
10/01/15,Thames Valley,Thames Valley - Oxford Area,2.6,6.9,9.9,0.8,0.0,0.0
11/01/15,Thames Valley,Thames Valley - Oxford Area,5.0,10.0,13.0,0.0,0.0,0.0
12/01/15,Thames Valley,Thames Valley - Oxford Area,0.9,5.8,8.8,0.1,0.0,0.0
13/01/15,Thames Valley,Thames Valley - Oxford Area,4.3,9.3,12.3,0.0,0.0,0.0
14/01/15,Thames Valley,Thames Valley - Oxford Area,5.9,10.9,13.9,0.0,0.0,0.0
15/01/15,Thames Valley,Thames Valley - Oxford Area,3.9,8.9,11.9,0.0,0.0,0.0
16/01/15,Thames Valley,Thames Valley - Oxford Area,7.4,12.4,15.4,0.0,0.0,0.0
17/01/15,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
18/01/15,Thames Valley,Thames Valley - Oxford Area,8.1,13.1,16.1,0.0,0.0,0.0
19/01/15,Thames Valley,Thames Valley - Oxford Area,9.5,14.5,17.5,0.0,0.0,0.0
20/01/15,Thames Valley,Thames Valley - Oxford Area,10.2,15.2,18.2,0.0,0.0,0.0
21/01/15,Thames Valley,Thames Valley - Oxford Area,7.3,12.3,15.3,0.0,0.0,0.0
22/01/15,Thames Valley,Thames Valley - Oxford Area,9.8,14.8,17.8,0.0,0.0,0.0
23/01/15,Thames Valley,Thames Valley - Oxford Area,9.7,14.7,17.7,0.0,0.0,0.0
24/01/15,Thames Valley,Thames Valley - Oxford Area,6.5,11.5,14.5,0.0,0.0,0.0
25/01/15,Thames Valley,Thames Valley - Oxford Area,5.6,10.5,13.4,0.0,0.0,0.0
26/01/15,Thames Valley,Thames Valley - Oxford Area,2.9,7.9,10.9,0.0,0.0,0.0
27/01/15,Thames Valley,Thames Valley - Oxford Area,5.2,10.2,13.2,0.0,0.0,0.0
28/01/15,Thames Valley,Thames Valley - Oxford Area,4.7,9.7,12.7,0.0,0.0,0.0
29/01/15,Thames Valley,Thames Valley - Oxford Area,8.1,13.1,16.1,0.0,0.0,0.0
30/01/15,Thames Valley,Thames Valley - Oxford Area,7.8,12.8,15.8,0.0,0.0,0.0
